Job Title,Job Type,Location,Experience Level,Salary Min (?),Salary Max (?),Min Education,Category,Openings,Notice Period,Year of Passing,Direct Link,Work Type,Interview Type,Company Name,Company Website,Company Description,Job Description,Requirements,Responsibilities,Skills
Digital Marketing Specialist,"Full-time, Permanent","Chandrapur, Maharashtra",5 - 10 years,?7 Lacs P.A.,12 Lacs P.A.,Graduation Not Required (Skills-focused),Digital Marketing,1,Not specified,Not Specified,https: www.naukri.com job-listings-digital-marketing-specialist-shelka-chem-industry-delhi-ncr-5-to-10-years-291225019425?src=cluster&sid=17670770355477776 7&xp=59&px=1,Remote,Online,Shelka Chem Industry,https: shelkaindustry.com ,"Established in 1989, Shelka Chem Industry is a veteran manufacturer, exporter, and supplier of Water Treatment Chemicals and Water Treatment Plants. They specialize in a massive range of industrial solutions, including Cooling Tower Chemicals, Boiler Chemicals, RO Chemicals, and Sewage Treatment Plants (STP). They serve a global clientele, including markets in Bangladesh and Mauritius, and operate with a strong focus on technical precision and quality standards.","You will be responsible for translating Shelka Chem's decades of industrial expertise into a modern digital presence. Your primary goal is to drive high-intent B2B leads from industries like manufacturing, textiles, and water treatment through aggressive and optimized online marketing.","5-10 years of experience in digital marketing (Industrial B2B background is a huge plus).

Mastery of Google Ads and PPC campaigns to target procurement managers.

Strong Content Marketing skills to explain complex chemical applications (e.g., Antiscalants or Oxygen Scavengers).

Proven ability to generate qualified leads that convert into industrial contracts.

Hands-on experience with Social Media Marketing tailored for LinkedIn and B2B platforms.","Develop and execute online marketing strategies to enhance global brand awareness.

Manage and optimize the company�s paid search budget for maximum lead quality.

Drive website traffic through targeted keyword research related to industrial chemicals.

Collaborate with the sales team to ensure leads are qualified and followed up on.

Monitor and report on digital campaign performance and ROI.","Google Ads, PPC Campaigns, Content Marketing, B2B Lead Generation, SEO SEM, Social Media Marketing, Performance Analytics, Digital Branding."
Senior Digital Marketing Expert,"Full-time, Permanent","Chandrapur, Maharashtra",3 - 5 years,Not Disclosed,Not Disclosed,Any Graduate,Digital Marketing,1,Not specified (Typically 15�30 days),"2019, 2020, 2021, 2022",https: www.naukri.com job-listings-senior-digital-marketing-expert-murmu-software-infotech-ranchi-3-to-5-years-251225013191?src=cluster&sid=17670770355477776 7&xp=60&px=1,Remote,Online,Murmu Software Infotech,https: murmusoftwareinfotech.com ,"Murmu Software Infotech is a specialized IT services firm focusing on AI-powered application development, software design, and comprehensive digital marketing services. Based in Ranchi, they cater to a global clientele looking for digital transformation through high-end web and mobile solutions. They are known for a high employee satisfaction rating (4.74 5), indicating a strong and supportive work culture.","As a Senior Expert, you will transition from simple execution to full-funnel strategy management. You will be responsible for the end-to-end planning and delivery of high-ROI campaigns across Google and Meta, while overseeing the organic growth of the brand and its clients.","3�5 years of hands-on experience in digital marketing.

Expertise in Google Ads and Meta Ads management.

Proficient in GA4 (Google Analytics 4) and advanced performance tracking.

Strong SEO skills (Keyword Research, Tools usage like SEMrush Ahrefs).

Experience with WordPress CMS for landing page management.

Ability to coordinate between creative, content, and development teams.","Plan and execute holistic digital marketing strategies to improve brand presence.

Manage large-scale ad budgets and optimize for Lead Generation and ROI.

Oversee SEO efforts to ensure consistent growth in organic traffic.

Conduct in-depth analysis of campaign performance and prepare technical reports.

Lead Funnel Management�ensuring users move smoothly from awareness to conversion.

Brainstorm and implement innovative YouTube and Content Marketing strategies.","Performance Marketing, Google Ads, Meta Ads (Facebook Instagram), SEO (On-page Off-page), GA4 Analytics, WordPress CMS, Funnel Optimization, Keyword Research, Lead Generation, Social Media Optimization (SMO)."
Digital Marketing Consultant,"Part Time, Freelance Homebased","Chandrapur, Maharashtra",3 - 6 years,"? 50,000","80,000 P.A",Any Graduate B.Tech or B.E.,Digital Marketing,5,Not specified,Not Specified,https: www.naukri.com job-listings-digital-marketing-consultant-magnatron-international-kolkata-3-to-6-years-201225011386?src=cluster&sid=17670770355477776 9&xp=62&px=1,Remote,Online,Magnatron International,https: www.magnatron.in ,"Magnatron International is an award-winning electronics manufacturer specializing in patented energy-saving solutions. Their flagship product, the AIRTRON, is an ""AI"" controlled electricity saver for ACs and cold rooms that can reduce bills by up to 35%. They hold Patent # 412672 and focus on helping industrial and commercial clients reduce their carbon footprint and operational costs.","Your primary focus is global B2B expansion. You will be responsible for using digital channels, specifically LinkedIn, to find and convert international customers and distributors for their patented energy-saving technology.","5+ years of specific experience in LinkedIn Marketing (Sales Navigator, Outreach, and Content).

Proven skill set in Digital Marketing and global lead generation.

Technical background (B.Tech B.E.) is preferred due to the nature of the product.

Experience in Google Ads AdWords for search-based lead capture.

Ability to communicate the value proposition of a patented technical invention.","Use LinkedIn to identify and engage with global distributors and commercial customers (Hotels, Hospitals, Factories).

Execute digital marketing strategies to build a pipeline of international leads.

Manage and optimize Google Ads campaigns to capture energy-saving intent.

Present the technical benefits of ""AI"" controlled PLC savers to decision-makers.

Track lead conversion from initial contact to distributor onboarding.","LinkedIn Marketing, B2B Lead Generation, Google Ads, Technical Digital Marketing, Social Media Marketing, Performance Tracking, International Market Outreach."
Digital Marketing Specialist,"Full-time, Permanent","Chandrapur, Maharashtra",4 - 9 years,?6Lacs P.A.,9 Lacs P.A.,Any Graduate (Postgraduate preferred),Digital Marketing,1,Not specified,Not Specified,https: www.naukri.com job-listings-digital-marketing-specialist-etaf-global-services-delhi-ncr-4-to-9-years-171225028450?src=cluster&sid=17670770355477776 9&xp=63&px=1,Remote,Online,Etaf Global Services,https: www.etafglobal.com ,"ETAF is a professional services firm founded by CAs and CPAs with over 50 years of combined experience in International Accounting, Taxation, and Global Payroll. They serve high-profile clients across the USA, Israel, and India. The company operates out of the prestigious WeWork Two Horizon Centre in Gurgaon and specializes in business process outsourcing (BPO) and financial consultancy.","This role is for a high-level Digital Marketing Specialist who can bridge the gap between traditional SEO and the new era of AI-driven search. You will lead the digital strategy for a global financial services client, focusing heavily on B2B lead generation and automation.","4+ years of B2B digital marketing experience.

Expertise in Marketing Automation (specifically Active Trail or similar tools).

Hands-on proficiency with Salesforce CRM integration.

Advanced knowledge of Google Ecosystem (Analytics, YouTube, PPC).

Proficiency in AI tools (ChatGPT, Gemini, Copilot) for content and search optimization.","AI SEO (GEO): Optimize web presence for AI search engines like ChatGPT and Gemini.

Lead Journeys: Build automated email lead workflows in Active Trail and sync them with Salesforce.

Website Management: Maintain landing pages and structure for maximum conversion.

LinkedIn Growth: Own the content calendar and organic engagement for the global brand.

Hands-on Lead Qualification: Moving beyond just ""getting clicks"" to verifying lead quality.","Lead Generation, SEO GEO, Google Analytics, Salesforce, Active Trail, PPC, LinkedIn Marketing, Video Editing (Short-form), Content Strategy, AI Marketing Tools."
Digital Marketing Consultant,"Full-time, Permanent","Chandrapur, Maharashtra",1 - 6 years,Not Disclosed,Not Disclosed,Graduation Not Required (Skills & execution-focused),Digital Marketing,10,Not specified,Not Specified,https: www.naukri.com job-listings-digital-marketing-consultant-declibac-technologies-kolkata-1-to-6-years-211025007505?src=cluster&sid=17670770355477776 9&xp=64&px=1,Remote,Online,Declibac Technologies (DTPL),https: declibac.com ,"Declibac is a veteran ISO-certified company specializing in water quality solutions for over 30 years. They manufacture and sell innovative, patented products aimed at both industrial and domestic water treatment. While they handle massive municipal and military projects, they are currently scaling their B2C (Business-to-Consumer) division focused on household products like shower filters, washing machine filters, and specialized RO pre-filters.","You are being hired specifically to drive rapid sales for a ""B2C Product"" (likely the PREFIL shower or washing machine filter). This is a results-oriented role where you must use a mix of ""push"" marketing (WhatsApp Email) and ""pull"" marketing (Social Media SEO) to generate business within a tight, challenging timeline.","1-6 years of experience in running multi-channel digital campaigns.

Proficiency in WhatsApp Marketing and Email Marketing tools.

Strong command of the English language and excellent communication skills.

Basic knowledge of Graphic Design (Canva Photoshop) and Website Development (to manage landing pages).

Proven track record in Online Lead Generation for e-commerce or B2C goods.","Launch and manage aggressive marketing campaigns on Social Media, WhatsApp, and Email.

Execute ""Brand Promotion"" strategies to position DTPL as a household name in water safety.

Create high-converting content and landing page structures to drive sales.

Monitor campaign performance and optimize for lower Cost Per Acquisition (CPA).

Work independently to meet ""challenging"" sales targets.","WhatsApp Marketing, E-Commerce, B2C Sales, Social Media Marketing, Email Automation, Brand Promotion, Graphic Design, Web Maintenance, Lead Generation."
Digital Marketing Specialist,"Full-time, Permanent","Chandrapur, Maharashtra",2 - 5 years,Not Disclosed,Not Disclosed,Any Graduate Postgraduate,Digital Marketing,1,Immediate to 30 days,Not Specified,https: www.naukri.com job-listings-digital-marketing-specialist-matebiz-private-limited-remote-2-to-5-years-171125502508?src=cluster&sid=17670770355477776 9&xp=65&px=1,Remote,Online,Matebiz Pvt. Ltd.,https: www.matebiz.com ,"Established in 2016, Matebiz is a premier digital marketing and web development agency based in New Delhi. They specialize in crafting high-conversion websites and ROI-focused marketing strategies for small to medium-sized businesses globally (serving 25+ countries). The agency is highly rated (4.8 5 on Google Clutch) and known for its expertise in Healthcare Hospital marketing, E-commerce, and AI-powered solutions.","You will be a key player in the marketing team, responsible for managing the end-to-end digital lifecycle for various international and domestic clients. Your role is heavily data-driven, focusing on converting traffic into leads through a mix of organic (SEO) and paid (PPC) strategies.","2-5 years of hands-on experience in Digital Marketing.

Strong technical command over Google Ads and Facebook Ads (Meta).

Deep understanding of SEO best practices (On-page, Off-page, and Technical SEO).

Ability to handle client interactions and present data-backed reports.

Proficiency in analytics tools (GA4, Google Search Console).","Campaign Ownership: Plan and execute 360-degree digital marketing strategies (PPC, SMM, Content).

SEO & Content: Optimize website content and structures to improve organic visibility.

Paid Ads: Manage and optimize budgets for Google and Facebook campaigns to maximize ROI.

Reporting: Track performance metrics and provide actionable insights to clients.

Collaboration: Coordinate with design and content teams for smooth campaign execution.","PPC, SEO, Facebook Ads, Google Ads, Analytics & Reporting, Client Interaction, Content Marketing, Online Lead Generation, Creative Problem Solving."
Digital Marketing Executive (MarTech Focus),"Full-time, Permanent","Chandrapur, Maharashtra",3 - 5 years,?5.5 Lacs P.A.,7.5 Lacs P.A.,Any Graduate,Digital Marketing,1,Not specified,Not Specified,https: www.naukri.com job-listings-digital-marketing-executive-social-media-automation-cms-and-crm-orbitalsling-bengaluru-3-to-5-years-091225918548?src=cluster&sid=17670770355477776 9&xp=66&px=1,Remote,Online,OrbitalSling,https: orbitalsling.com ,"OrbitalSling is a mission-driven, tech-focused B2B marketing agency with a global presence across India (Bengaluru, Goa, Coimbatore), the USA, and the UK. They specialize in ""Slingshotting"" B2B brands through a fusion of deep engineering expertise and creative storytelling. Their services range from MarTech integration and UX design to Technical Thought Leadership and performance marketing for enterprise IT and SaaS clients.","This is a specialized role for a ""MarTech"" expert. You won't just be posting on social media; you will be the technical architect behind the marketing stack. You will audit client technologies, integrate automation tools like HubSpot, and manage complex lead journeys across CRM and CMS platforms.","3+ years in Digital Marketing with a heavy focus on Automation tools.

Mastery of HubSpot (Marketing, Sales, and CMS Hub).

Hands-on knowledge of CRM platforms (Salesforce, MS Dynamics).

Experience with Enterprise CMS platforms (Adobe Experience Manager - AEM, Sitecore, or Drupal).

Strong background in SEO SEM and Web Analytics (Google Analytics).

Analytical mindset with the ability to tell a story through data.","MarTech Consulting: Audit and recommend technology stacks (CDP to CMS) for global B2B clients.

Integration & Troubleshooting: Implement and maintain technical marketing solutions.

End-to-End Campaigns: Manage social, display, and PPC campaigns through the entire project lifecycle.

Social Media Management: Handle organic and automated social media for client brands.

Reporting: Deliver high-impact performance reports to stakeholders.","MarTech Stack, HubSpot, Salesforce, AEM, Google Analytics, PPC, SEO SEM, Marketing Automation, Content Management Systems (CMS), MS Dynamics."
SEO + Digital Marketing Specialist,"Full-time, Permanent","Chandrapur, Maharashtra",2 - 6 years,Not Disclosed,Not Disclosed,Any Graduate,Digital Marketing,1,Not specified,Not Specified,https: www.naukri.com job-listings-seo-digital-marketing-indus-medica-management-delhi-ncr-2-to-6-years-060825027555?src=cluster&sid=17670770355477776 9&xp=67&px=1,Remote,Online,ndus Medica Management (Indus Med),https: www.indusmed.co ,"Based in Delhi, Indus Medica is a B2B healthcare service provider focusing on Revenue Cycle Management (RCM), medical billing, and IT services for healthcare providers in the USA, UAE, and India.

The ""Global Client"" Context: While they are a healthcare firm, this specific role is for their marketing arm that sells HubSpot Consulting Services. You will be marketing the agency's ability to set up, onboard, and manage HubSpot for other businesses.","This is a specialized B2B marketing role. Your primary goal is to generate leads for the agency's HubSpot Partner services. You will be marketing ""Marketing Automation"" to other companies, positioning Indus Med as an expert HubSpot Solutions Partner.","3+ years of core experience in B2B digital marketing.

HubSpot Power User: Deep knowledge of HubSpot CRM, Marketing Hub, and Sales Hub (Certifications are highly preferred).

Performance Marketing: Expertise in Google Ads (PPC) and Social Ads (LinkedIn focus).

Technical SEO: Content optimization and keyword analysis for high-intent B2B terms.

Analytics: Mastery of Google Tag Manager (GTM) and GA4 for tracking ""closed-loop"" conversions.","Lead Gen for HubSpot: Build campaigns to find companies that need HubSpot onboarding or CRM migration.

Paid Strategy: Manage high-intent PPC campaigns (e.g., targeting keywords like ""HubSpot setup services"").

Inbound Content: Create case studies and success stories that prove the agency's HubSpot expertise.

Marketing Automation: Use HubSpot to market HubSpot�building lead nurturing workflows and automated journeys.

Ad Creatives: Collaborate on conversion-focused landing pages and LinkedIn ad copy.","1. HubSpot CRM, Google Ads (PPC), LinkedIn Marketing, SEO, GTM, GA4, Marketing Automation, Content Strategy, Lead Nurturing."
Digital Marketing Specialist,"Full-time, Permanent","Chandrapur, Maharashtra",2 - 4 years,Not Disclosed,Not Disclosed,Any Graduate Postgraduate,Digital Marketing,1,Not specified,Not Specified,https: www.naukri.com job-listings-digital-marketing-specialist-bytemindz-technologies-remote-2-to-4-years-290724501316?src=cluster&sid=17670770355477776 9&xp=68&px=1,Remote,Online,Bytemindz Technologies,https: bytemindz.com ,": Bytemindz Technologies is an IT services firm providing end-to-end digital solutions, including Web Development, Graphic Design, and Digital Marketing. They specialize in helping businesses establish a digital footprint and scaling online operations through data-driven campaigns and creative tech services.

Core Focus: Their marketing team focuses heavily on Lead Acquisition and integrated campaign management for B2B and creative tech sectors.",You will be responsible for the full lifecycle of the company�s digital marketing efforts. Your role is to build a cohesive online presence that attracts high-quality leads. You must be comfortable working with a variety of digital channels�from search engines to social platforms�ensuring every campaign is tracked and optimized for performance.,"2-4 years of proven experience in managing multi-channel digital marketing campaigns.

Well-versed in current digital trends, algorithm updates, and online measurement tools.

Hands-on experience with Search Engine Optimization (SEO) and Pay-Per-Click (PPC).

Strong understanding of social media platforms and content distribution.

Analytical mindset with the ability to interpret data into actionable insights.","Develop and implement digital marketing strategies across all digital channels (Web, Social, Search).

Track, report, and optimize the performance of ongoing campaigns.

Identify new trends and insights to optimize spend and performance based on data.

Collaborate with internal web development and graphic design teams to create high-converting assets.

Manage lead acquisition funnels to ensure a steady flow of business inquiries.","Digital Marketing Strategy, Online Campaign Management, SEO SEM, Content Marketing, Analytics & Reporting, Paid Advertising, Social Media Marketing, Lead Generation."
Digital Marketer,"Full-time, Permanent","Chandrapur, Maharashtra",2 - 7 years,Not Disclosed,Not Disclosed,"Bachelor�s degree (Marketing, Communications, Journalism, English, or Graphic Design)",Digital Marketing,1,Not specified,Not Specified,https: www.naukri.com job-listings-digital-marketer-pan-india-axel-remote-2-to-7-years-230921501413?src=cluster&sid=17670770355477776 9&xp=69&px=1,Remote,Online,AXEL,https: www.axel.org ,"AXEL is a high-growth technology company specializing in data custody, privacy, and blockchain solutions. Based in Las Vegas but operating with a global team, they are the creators of AXEL Go, a decentralized file-sharing and storage platform that uses blockchain to ensure 100% data privacy. They hold over a dozen patents in content management and file-sharing, positioning themselves as a secure alternative to Big Tech.",This role is for a creative and data-savvy marketer who can promote complex privacy-tech solutions. You will be responsible for the entire digital ecosystem�from high-level brand strategy to day-to-day email campaigns and social media community management.,"2-7 years of experience in digital marketing (IT Tech industry knowledge is a must).

Mastery of Google Ads, Microsoft Ads, Meta, and LinkedIn Ads.

Experience in Blockchain or Data Security marketing is a massive advantage.

Hands-on proficiency with CRM platforms and Email Marketing (managing guest life-cycles).

Strong creative background: Experience in Graphic Design or content creation (Blogs, Podcasts).

Advanced English proficiency (A-levels or equivalent).","Paid Media: Manage and optimize global campaigns across search, display, and video networks.

Content Hub: Coordinate and create website content, blog posts, press releases, and podcasts.

Community Building: Moderate and engage with users on Facebook, X (Twitter), LinkedIn, and YouTube.

Email Strategy: Develop lifecycle email campaigns to increase website traffic and ""Guest Lifetime Value.""

Executive Reporting: Use data metrics to build monthly reports that prove marketing ROI to the executive team.","PPC SEM, SEO, Social Media Management, Blockchain Marketing, Email Automation, CRM Management, Digital Content Creation, Research & Analytics, Microsoft Office (Word Excel Outlook)."
Digital Marketing Intern,"Full-time, Permanent","Chandrapur, Maharashtra","Minimum 2 years of experience (Note: High requirement for an ""Intern"" role)",Not Disclosed,Not Disclosed,"Bachelor's degree in Marketing, Communications, or related field",Digital Marketing,1,Not specified,Not Specified,https: www.naukri.com job-listings-digital-marketing-intern-crimsoncobaltgroup-remote-2-to-5-years-211125500037?src=cluster&sid=17670770355477776 9&xp=70&px=1,Remote,Online,CrimsonCobalt Digital,https: crimsoncobalt.com ,"CrimsonCobalt is a Pune-based digital marketing agency with over 14 years of industry experience. They offer a 360-degree suite of services including Global SEO, PPC, Social Media, and specialized solutions like Sustainability Communication and Digital PR. They operate primarily as a remote-first agency, serving global clients across Technology, Real Estate, and FMCG sectors.","As a Digital Marketing Intern at CrimsonCobalt, you are expected to hit the ground running. You will be integrated into the team to manage end-to-end digital campaigns, focusing heavily on Search Engine Marketing (SEM) and Search Engine Optimization (SEO) to drive measurable growth for global clients.","2+ years of hands-on experience in digital marketing and advertising campaigns.

Proficiency in SEO SEM tools (Ahrefs, SEMrush, Google Search Console, etc.).

Experience in Email Marketing and Social Media data analysis.

Strong ability to multitask and manage multiple client projects independently.

Solid understanding of ""Word, Spreadsheets, and Presentation"" software for reporting.","SEM SEO Execution: Develop, manage, and optimize search-driven campaigns.

Content Optimization: Create and maintain content aligned with client business goals.

Ad Copy Projects: Work with internal teams to craft conversion-focused ad copy.

Lifecycle Management: Handle design, build, testing, and reporting of online marketing efforts.

Research: Conduct deep-dive research to assess and address specific client needs.","SEO, SEM, Digital Marketing, Email Marketing, Social Media Marketing, Data Analysis, Client Research, Strategic Planning, Campaign Optimization."
Digital Marketing Manager,"Full-time, Permanent","Chandrapur, Maharashtra",5 - 10 years,Not Disclosed,Not Disclosed,Any Graduate Postgraduate,Digital Marketing,1,Not specified,Not Specified,https: www.naukri.com job-listings-digital-marketing-manager-cashaa-private-limited-remote-5-to-10-years-210525504462?src=cluster&sid=17670770355477776 9&xp=71&px=1,Remote,Online,Cashaa,https: cashaa.com ,"Founded in 2016, Cashaa is a pioneer in the Fintech and Blockchain space. Originally known for its B2B banking services (serving giants like Binance and Chainlink), the company recently pivoted to a Retail-first ""Deobanking"" model. They offer a non-custodial wallet ecosystem (The Sovereign Vault) that allows users to earn yields up to 34% APR, borrow against crypto at 0% interest, and spend digital assets via Visa-powered cards across 130+ fiat corridors.","This is a high-impact leadership role focused on driving user growth for Cashaa�s new retail wallet app. You are responsible for transforming complex blockchain concepts into accessible, mass-market marketing strategies. You will manage a cross-functional team and own the ROI for global user acquisition.","5+ years of digital marketing experience, ideally within Fintech or Crypto.

Expertise in Growth Marketing (User acquisition and retention).

Deep technical understanding of SEO (Search Engine Optimization) and SEM (Google Ads).

Strong data-driven mindset: Must be able to interpret KPIs and adjust budgets in real-time.

Leadership: Proven experience managing creative (design content) and technical (dev) teams.","Strategy & Execution: Develop 360-degree campaigns across Social Media, Google Ads, and PR.

Crypto Literacy: Stay updated on blockchain trends and global crypto regulations.

Product Collaboration: Work with tech teams to optimize landing pages and the user onboarding funnel.

Performance Analysis: Use Google Analytics and on-chain data to maximize campaign ROI.

Brand Positioning: Establish Cashaa as the most trusted ""Deobank"" globally.","Growth Marketing, PPC SEM, SEO, Lead Generation, Google Analytics, Content Strategy, Blockchain Crypto Trends, Project Management, Cross-functional Leadership"
Digital Marketing Executive Manager,"Full-time, Permanent","Chandrapur, Maharashtra",2 - 7 Years,Not Disclosed,Not Disclosed,Bachelor's Degree,Digital Marketing,1,Immediate Joiner preferred,Not Specified,https: www.naukri.com job-listings-digital-marketing-executive-navgathi-marine-design-constructions-remote-2-to-7-years-131021500484?src=cluster&sid=17670770355477776 9&xp=74&px=1,Remote,Online,Navgathi Marine Design & Constructions Pvt. Ltd.,https: navgathi.com ,"Navgathi was incorporated in the year 2008. With the highest ethical standards and pure dedication to excellence in all operational aspects, we aspire to exceed our customer's expectations in the marine and offshore industry. Navgathi Marine Design & Constructions specializes in marine engineering, naval architecture, and sustainable boat manufacturing. It offers career opportunities in design, operations, and fabrication, contributing to innovative water transport solutions across India","The candidate will be responsible for leading digital marketing strategies to drive brand awareness and engagement. You will work closely with the CEO, product designers, and sales teams to launch global campaigns. The role involves managing end-to-end digital lifecycles, from planning SEO SEM to optimizing high-conversion landing pages for solar-electric marine products.","Bachelor�s degree in Marketing or related.

2+ years experience in digital marketing.

Proven expertise in SEO and SEM.

Experience managing Google Adwords and PPC.

Strong background in B2B email marketing.

Knowledge of website analytics and reporting.

Ability to juggle multiple high-priority projects.","Plan and execute multi-channel digital campaigns.

Maintain social presence across all channels.

Create landing pages and optimize UX.

Measure and report campaign ROI metrics.

Collaborate with sales and support teams.

Identify and adopt new marketing technologies.

Report performance insights directly to CEO.","SEO SEM, Google Adwords, PPC, Email Marketing, Social Media Management, Marketing Database, Google Analytics, Brand Awareness, Display Advertising, Growth Strategy, User Experience (UX), Data Analysis, Content Marketing"
Digital Marketing Executive,"Full-time, Permanent","Chandrapur, Maharashtra",2 - 7 years,Not Disclosed,Not Disclosed,Any Graduate Postgraduate,Digital Marketing,1,Not specified,Not Specified,https: www.naukri.com job-listings-digital-marketing-executive-menthee-technologies-pvt-ltd-remote-2-to-7-years-110925503393?src=cluster&sid=17670770355477776 9&xp=75&px=1,Remote,Online,MenThee Technologies Private Limited,https: menthee.com ,"MenThee Technologies is an innovative, next-generation IT company dedicated to delivering cutting-edge software solutions across a variety of industries. Specializing in eCommerce, ERP, HRMS, CRM, and banking domain projects, we empower businesses with scalable, high-performance applications that drive growth and efficiency. Founded in 2015, MenThee Technologies has rapidly grown into a dynamic mid-sized company with over 150 years of combined expertise in IT product and project development. We focus on leveraging the latest technologies to provide end-to-end IT solutions.","The candidate will be a digital marketing strategist responsible for driving brand awareness and user engagement for MenThee's suite of IT products (ERP, CRM, HRMS). You will be expected to handle hands-on SEO SEM activities, manage paid advertising campaigns, and use data-driven insights to optimize digital presence across multiple platforms.","2+ years experience in digital marketing.

Hands-on proficiency with major SEO tools.

Expertise in SEM and Google Ads.

Deep knowledge of social media marketing.

Strong understanding of Google Analytics tools.

Ability to translate technical products simply.

Strategic mindset for multi-channel campaign planning.","Plan and execute digital marketing campaigns.

Manage and optimize Google Ads performance.

Implement and lead on-page off-page SEO.

Analyze key performance and web metrics.

Drive engagement across all digital platforms.

Coordinate content strategies for IT solutions.

Maintain brand consistency across digital channels.","SEO, SEM, Google Ads, Google Analytics, Social Media Marketing, Campaign Management, Performance Metrics, Digital Strategy, Content Marketing, Lead Generation"
Digital Marketing Executive,"Full-time, Permanent","Chandrapur, Maharashtra",2 - 7 Years,Not Disclosed,Not Disclosed,Marketing Degree Any Graduate,Digital Marketing,1,Not specified,Not Specified,https: www.naukri.com job-listings-digital-marketing-executive-fliptree-technologies-remote-2-to-7-years-110425500633?src=cluster&sid=17670770355477776 9&xp=76&px=1,Remote,Online,FlipTree Technologies (India) Private Limited,https: fliptreetechnologies.com ,"We are a collective of like-minded individuals who, by fortune, found each other and united by shared principles, aiming to transform the social fabric. We develop technology solutions that empower communities to function more efficiently and grow sustainably. By understanding the unique needs and dynamics of each community, we create innovative platforms that foster collaboration, communication, and collective problem-solving, driving positive change and enhancing the well-being of individuals and societies.","The candidate will be a dynamic and results-driven professional responsible for developing and implementing digital marketing campaigns. You will focus on promoting the company�s mobile-first ecosystem, including products like the FlipTree App, Lumi Matrimony, and Peck Dating. The role involves a heavy focus on lead generation and brand engagement to scale user bases across diverse community-centric platforms.","Degree in Marketing or related field.

2+ years digital marketing experience.

Proficiency in digital marketing tools.

Strong understanding of brand awareness.

Experience in lead generation tactics.

Creative mindset for campaign development.

Ability to work in remote teams.","Develop and implement digital campaigns.

Optimize campaigns across online channels.

Drive brand awareness and engagement.

Execute effective lead generation strategies.

Conduct keyword research and SEO.

Manage social media content creation.

Track and report campaign performance.","Lead Generation, SEO SEM, Content Marketing, Social Media Marketing, Campaign Management, Brand Awareness, Performance Tracking, Digital Analytics, PPC, Community Engagement"
Digital Marketing Executive,"Full-time, Permanent","Chandrapur, Maharashtra",2 - 3 Years,Not Disclosed,Not Disclosed,Any Graduate Postgraduate,Digital Marketing,1,Not specified,Not Specified,https: www.naukri.com job-listings-digital-marketing-executive-siya-infotech-solutions-pvt-ltd-remote-2-to-3-years-090424500347?src=cluster&sid=17670770355477776 9&xp=77&px=1,Remote,Online,Siya Infotech Solution Pvt. Ltd.,https: siyainfo.com ,"Siya Infotech is a foremost web, mobile, and software development company in India that offers cutting-edge IT solutions to different businesses all across the globe. Established in 2009, just within a decade of our commencement, we have earned the reputation as the one-stop web, mobile, and cloud solution provider. With head office in USA and development center in India, we have expertise in delivering techno-driven IT services such as Web Development, Mobile Development, UI UX Development, and Software development using the latest tools and technologies. We have built our identity as the most reliable web and mobile development company offering ROI-driven services to our valued customers.","The candidate will be responsible for leading B2B digital branding and demand generation efforts. You will manage multi-channel advertising (Google, LinkedIn, Facebook), drive lead qualification processes with the sales team, and oversee the technical health of web properties. The role requires a hands-on strategist who can execute email marketing, content promotion, and SEO troubleshooting to achieve revenue goals.","2-3 years in B2B digital marketing.

Strong understanding of digital branding practices.

Experience with marketing automation platforms.

Exceptional analytical and creative thinking skills.

Ability to work in fast-paced environments.

Self-directing with an agile work style.

Insatiable hunger for learning marketing trends.","Oversee media campaigns on Google social platforms.

Create landing pages and conversion opportunities.

Qualify leads and coordinate with sales.

Execute email marketing and drip campaigns.

Manage community engagement on social accounts.

Monitor website performance and SEO health.

Report regularly on KPIs and revenue.",": SEO, SEM, PPC, Marketing Automation, Email Marketing, Content Promotion, Google Analytics, B2B Branding, Agile Methodology, Lead Nurturing, Social Media Marketing, Performance Reporting"
